gid,id,team,d_seq,d_pos,stattype,d_ifouts,d_po,d_a,d_e,d_dp,d_tp,d_pb,d_wp,d_sb,d_cs,d_gs,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
ARI202403280,gallz001,ARI,1,1,value,15,1,0,0,0,0,,,,,1,20240328,0,PHO01,h,COL,1,0,0,regular,y,y
ARI202403280,mcgos001,ARI,1,1,value,3,0,0,0,0,0,,,,,0,20240328,0,PHO01,h,COL,1,0,0,regular,y,y
ARI202403280,castm002,ARI,1,1,value,3,0,1,0,0,0,,,,,0,20240328,0,PHO01,h,COL,1,0,0,regular,y,y
ARI202403280,nelsk001,ARI,1,1,value,3,0,0,0,0,0,,,,,0,20240328,0,PHO01,h,COL,1,0,0,regular,y,y
ARI202403280,martk001,ARI,1,4,value,21,1,3,0,0,0,,,,,1,20240328,0,PHO01,h,COL,1,0,0,regular,y,y
ARI202403280,petej002,ARI,1,4,value,6,1,1,0,1,0,,,,,0,20240328,0,PHO01,h,COL,1,0,0,regular,y,y
ARI202403280,carrc005,ARI,1,9,value,27,1,0,0,0,0,,,,,1,20240328,0,PHO01,h,COL,1,0,0,regular,y,y
ARI202403280,gurrl001,ARI,1,7,value,21,2,0,0,0,0,,,,,1,20240328,0,PHO01,h,COL,1,0,0,regular,y,y
ARI202403280,mccaj003,ARI,1,7,value,6,0,0,0,0,0,,,,,0,20240328,0,PHO01,h,COL,1,0,0,regular,y,y
ARI202403280,walkc002,ARI,1,3,value,27,12,1,0,1,0,,,,,1,20240328,0,PHO01,h,COL,1,0,0,regular,y,y
ARI202403280,moreg001,ARI,1,2,value,27,6,1,0,0,0,0,0,0,0,1,20240328,0,PHO01,h,COL,1,0,0,regular,y,y
ARI202403280,suare001,ARI,1,5,value,27,1,4,0,1,0,,,,,1,20240328,0,PHO01,h,COL,1,0,0,regular,y,y
ARI202403280,alexb001,ARI,1,6,value,3,0,1,0,0,0,,,,,0,20240328,0,PHO01,h,COL,1,0,0,regular,y,y
ARI202403280,thoma004,ARI,1,8,value,27,2,0,0,0,0,,,,,1,20240328,0,PHO01,h,COL,1,0,0,regular,y,y
ARI202403280,perdg001,ARI,1,6,value,24,0,2,0,0,0,,,,,1,20240328,0,PHO01,h,COL,1,0,0,regular,y,y
ARI202403280,frial001,ARI,1,1,value,3,0,0,0,0,0,,,,,0,20240328,0,PHO01,h,COL,1,0,0,regular,y,y
BAL202403280,sandp002,ANA,1,1,value,5,0,0,0,0,0,,,,,1,20240328,0,BAL12,v,BAL,0,1,0,regular,y,y
BAL202403280,suarj001,ANA,1,1,value,11,0,0,0,0,0,,,,,0,20240328,0,BAL12,v,BAL,0,1,0,regular,y,y
BAL202403280,cisnj001,ANA,1,1,value,2,0,0,0,0,0,,,,,0,20240328,0,BAL12,v,BAL,0,1,0,regular,y,y
BAL202403280,zunig001,ANA,1,1,value,3,0,0,0,0,0,,,,,0,20240328,0,BAL12,v,BAL,0,1,0,regular,y,y
BAL202403280,cimba001,ANA,1,1,value,3,0,0,0,0,0,,,,,0,20240328,0,BAL12,v,BAL,0,1,0,regular,y,y
BAL202403280,renda001,ANA,1,5,value,24,2,4,1,0,0,,,,,1,20240328,0,BAL12,v,BAL,0,1,0,regular,y,y
BAL202403280,hicka001,ANA,1,9,value,24,2,0,0,0,0,,,,,1,20240328,0,BAL12,v,BAL,0,1,0,regular,y,y
BAL202403280,troum001,ANA,1,8,value,21,2,0,0,0,0,,,,,1,20240328,0,BAL12,v,BAL,0,1,0,regular,y,y
BAL202403280,monim001,ANA,1,8,value,3,1,0,0,0,0,,,,,0,20240328,0,BAL12,v,BAL,0,1,0,regular,y,y
BAL202403280,wardt002,ANA,1,7,value,24,2,0,0,0,0,,,,,1,20240328,0,BAL12,v,BAL,0,1,0,regular,y,y
BAL202403280,drurb001,ANA,1,4,value,21,3,1,0,0,0,,,,,1,20240328,0,BAL12,v,BAL,0,1,0,regular,y,y
